airport,lat,long,year,total_passengers
Miami International Airport,25.7949789,-80.28672341095405,2011,18342158
Charlotte Douglas International Airport,35.21074145,-80.9457435226013,2011,19022535
George Bush Intercontinental Airport,29.9841416,-95.33298595614491,2011,19306660
Phoenix Sky Harbor International Airport,33.43290795,-112.00942180184659,2011,19750306
McCarran International Airport,36.0861034,-115.16111989849915,2011,19854759
San Francisco International Airport[15],37.622451999999996,-122.38407160781362,2011,20038679
John F. Kennedy International Airport[14],40.642947899999996,-73.7793733748521,2011,23664830
Denver International Airport,39.8606676,-104.68536732610298,2011,25667499
Dallas/Fort Worth International Airport,32.89651945,-97.0465220537124,2011,27518358
Los Angeles International Airport,33.94216754999999,-118.42139298414197,2011,30528737
O'Hare International Airport,41.977984899999996,-87.90917993412859,2011,31892301
Hartsfield-Jackson International Airport,33.63779875,-84.42927118585675,2011,44414121
Nashville International Airport,36.11958985,-86.68308703291842,2011,NA
Dallas Love Field,32.84524055,-96.84732187569065,2011,NA
Portland International Airport,45.587132600000004,-122.59277984939183,2012,7142620
Tampa International Airport,27.9791649,-82.5349276153517,2012,8216153
San Diego International Airport,32.73336075,-117.19224641277626,2012,8686592
Salt Lake City International Airport,40.790066100000004,-111.97989846185591,2012,9431796
Ronald Reagan Washington National Airport,38.851289449999996,-77.03968893913375,2012,9462206
Philadelphia International Airport,39.875018,-75.23521278969667,2012,9579836
Washington Dulles International Airport,38.95226625,-77.45342297783296,2012,10785683
Baltimore/Washington International Airport,39.1747196,-76.67075505810189,2012,11183965
Fort Lauderdale–Hollywood International Airport,26.072017000000002,-80.15099673135214,2012,11445101
LaGuardia Airport[18],40.7757145,-73.87336398511545,2012,12818717
Logan International Airport,42.3630236,-71.01340798670637,2012,14293675
St. Louis Lambert International Airport,38.749571950000004,-90.37014071044965,2012,14587631
Detroit Metropolitan Airport,42.205699100000004,-83.35297537621658,2012,15599877
Minneapolis–Saint Paul International Airport,44.878019050000006,-93.2209280537696,2012,15943751
Seattle–Tacoma International Airport,47.4475673,-122.3080158569515,2012,16625787
